filename,text,category,length
images/letters/letters_000001.png,ZIXYYOA,letters,7
images/letters/letters_000002.png,VTKJMGLE,letters,8
images/letters/letters_000003.png,UWMZWI,letters,6
images/letters/letters_000004.png,TJNEDO,letters,6
images/letters/letters_000005.png,JAQJ,letters,4
images/letters/letters_000006.png,USOYUQNG,letters,8
images/letters/letters_000007.png,QVAY,letters,4
images/letters/letters_000008.png,ZOXA,letters,4
images/letters/letters_000009.png,DIXZZKKM,letters,8
images/letters/letters_000010.png,BBW,letters,3
images/letters/letters_000011.png,RHPQJPSZ,letters,8
images/letters/letters_000012.png,YTNC,letters,4
images/letters/letters_000013.png,PGYQNT,letters,6
images/letters/letters_000014.png,ZTFSYY,letters,6
images/letters/letters_000015.png,NZR,letters,3
images/letters/letters_000016.png,QMPTFG,letters,6
images/letters/letters_000017.png,ZFYSB,letters,5
images/letters/letters_000018.png,JROC,letters,4
images/letters/letters_000019.png,JXA,letters,3
images/letters/letters_000020.png,USPUPGUJ,letters,8
images/letters/letters_000021.png,FCSI,letters,4
images/letters/letters_000022.png,ULI,letters,3
images/letters/letters_000023.png,NWNR,letters,4
images/letters/letters_000024.png,ABBLSI,letters,6
images/letters/letters_000025.png,NJUFGQYL,letters,8
images/letters/letters_000026.png,VWBOONVH,letters,8
images/letters/letters_000027.png,JFXXAZQG,letters,8
images/letters/letters_000028.png,TXIYIJEJ,letters,8
images/letters/letters_000029.png,VOIEFVE,letters,7
images/letters/letters_000030.png,PTYBIOQ,letters,7
images/letters/letters_000031.png,NOZVAAUF,letters,8
images/letters/letters_000032.png,CARUX,letters,5
images/letters/letters_000033.png,HHSZZ,letters,5
images/letters/letters_000034.png,EYVN,letters,4
images/letters/letters_000035.png,EWPW,letters,4
images/letters/letters_000036.png,BSPT,letters,4
images/letters/letters_000037.png,NBESHJCW,letters,8
images/letters/letters_000038.png,QRMIPCA,letters,7
images/letters/letters_000039.png,NPR,letters,3
images/letters/letters_000040.png,UGNVNEDK,letters,8
images/letters/letters_000041.png,FUORU,letters,5
images/letters/letters_000042.png,OQJWNWVC,letters,8
images/letters/letters_000043.png,ZQJCYHQ,letters,7
images/letters/letters_000044.png,QEFXKX,letters,6
images/letters/letters_000045.png,KMPASCUA,letters,8
images/letters/letters_000046.png,MBQ,letters,3
images/letters/letters_000047.png,LJHLJWH,letters,7
images/letters/letters_000048.png,DBHJDKF,letters,7
images/letters/letters_000049.png,YSOHEJEU,letters,8
images/letters/letters_000050.png,WRSYSUI,letters,7
images/letters/letters_000051.png,EKCBKZ,letters,6
images/letters/letters_000052.png,WOLB,letters,4
images/letters/letters_000053.png,YWHQZVB,letters,7
images/letters/letters_000054.png,FVTW,letters,4
images/letters/letters_000055.png,YUTOK,letters,5
images/letters/letters_000056.png,RMXOIB,letters,6
images/letters/letters_000057.png,RGTA,letters,4
images/letters/letters_000058.png,TXJCZUC,letters,7
